대학ID,학교ID,학교명
1,0000063,가천대학교
2,0000003,강원대학교
3,0000052,건국대학교
4,0000040,서울시립대학교
5,0000014,부산대학교
6,0002748,가야대학교(김해)
7,0000072,가톨릭관동대학교
8,0000215,가톨릭꽃동네대학교
9,0000046,가톨릭대학교
10,0000050,감리교신학대학교
11,0000051,강남대학교
12,0000079,강서대학교
13,0000053,건국대학교(글로컬)
14,0000054,건양대학교
15,0000056,경기대학교
16,0000059,경남대학교
17,0000060,경동대학교
18,0000005,경북대학교
19,0000007,경상국립대학교
20,0000062,경성대학교
21,0000244,경운대학교
22,0000256,경인교육대학교
23,0000064,경일대학교
24,0000066,경희대학교
25,0000068,계명대학교
26,0000069,고려대학교
27,0000070,고려대학교(세종)
28,0000071,고신대학교
29,0000251,공주교육대학교
30,0000073,광신대학교
31,0000074,광운대학교
32,0000075,광주가톨릭대학교
33,0000381,광주과학기술원
34,0000252,광주교육대학교
35,0000231,광주대학교
36,0000076,광주여자대학교
37,0000021,국립경국대학교
38,0000008,국립공주대학교
39,0000009,국립군산대학교
40,0000010,국립금오공과대학교
41,0000011,국립목포대학교
42,0000012,국립목포해양대학교
43,0000013,국립부경대학교
44,0000020,국립순천대학교
45,0000028,국립창원대학교
46,0000034,국립한국교통대학교
47,0000033,국립한국해양대학교
48,0000039,국립한밭대학교
49,0000078,국민대학교
50,0000080,극동대학교
51,0000224,금강대학교
52,0000241,김천대학교
53,0000081,나사렛대학교
54,0000216,남부대학교
55,0000245,남서울대학교
56,0000082,단국대학교
57,0000088,대구가톨릭대학교
58,0000382,대구경북과학기술원
59,0000253,대구교육대학교
60,0000084,대구대학교
61,0000087,대구예술대학교
62,0000061,대구한의대학교
63,0000093,대신대학교
64,0000094,대전가톨릭대학교
65,0000095,대전대학교
66,0000238,대전신학대학교
67,0000097,대진대학교
68,0000099,덕성여자대학교
69,0000100,동국대학교
70,0000101,동국대학교(WISE)
71,0000102,동덕여자대학교
72,0000235,동명대학교
73,0000103,동서대학교
74,0000104,동신대학교
75,0000105,동아대학교
76,0000106,동양대학교
77,0000107,동의대학교
78,0000108,루터대학교
79,0000109,명지대학교
80,0000112,목원대학교
81,0000221,목포가톨릭대학교
82,0000113,배재대학교
83,0000178,백석대학교
84,0000114,부산가톨릭대학교
85,0000254,부산교육대학교
86,0000115,부산외국어대학교
87,0000222,부산장신대학교
88,0000116,삼육대학교
89,0000117,상명대학교
90,0000119,상지대학교
91,0000120,서강대학교
92,0000121,서경대학교
93,0000036,서울과학기술대학교
94,0000255,서울교육대학교
95,0000098,서울기독대학교
96,0000019,서울대학교
97,0000125,서울신학대학교
98,0000126,서울여자대학교
99,0000127,서울장신대학교
100,0000205,서울한영대학교
101,0000128,서원대학교
102,0000129,선문대학교
103,0000131,성결대학교
104,0000132,성공회대학교
105,0000133,성균관대학교
106,0000136,성신여자대학교
107,0000137,세명대학교
108,0000138,세종대학교
109,0000092,세한대학교
110,0000243,송원대학교
111,0000139,수원가톨릭대학교
112,0000140,수원대학교
113,0000141,숙명여자대학교
114,0000142,순천향대학교
115,0000143,숭실대학교
116,0000065,신경주대학교
117,0000144,신라대학교
118,0002712,신한대학교
119,0000145,아신대학교
120,0000146,아주대학교
121,0000147,안양대학교
122,0000149,연세대학교
123,0000150,연세대학교(미래)
124,0000151,영남대학교
125,0000153,영남신학대학교
126,0003193,영산대학교(해운대)
127,0000155,영산선학대학교
128,0000228,예수대학교
129,0000218,예원예술대학교
130,0000156,용인대학교
131,0000157,우석대학교
132,0000240,우송대학교
133,0000250,울산과학기술원
134,0000158,울산대학교
135,0000159,원광대학교
136,0000160,위덕대학교
137,0000154,유원대학교
138,0000161,을지대학교
139,0000163,이화여자대학교
140,0000164,인제대학교
141,0000168,인천가톨릭대학교
142,0002660,인천대학교
143,0000169,인하대학교
144,0000170,장로회신학대학교
145,0000023,전남대학교
146,0000025,전북대학교
147,0000258,전주교육대학교
148,0000171,전주대학교
149,0000248,제주국제대학교
150,0000027,제주대학교
151,0000172,조선대학교
152,0000173,중부대학교
153,0000175,중앙대학교
154,0000177,중앙승가대학교
155,0000239,중원대학교
156,0000260,진주교육대학교
157,0000187,차의과학대학교
158,0000249,창신대학교
160,0000261,청주교육대학교
161,0000179,청주대학교
162,0000246,초당대학교
163,0000180,총신대학교
164,0000181,추계예술대학교
165,0000262,춘천교육대학교
166,0000029,충남대학교
167,0000030,충북대학교
168,0000184,칼빈대학교
169,0000186,평택대학교
170,0000188,포항공과대학교
171,0000037,한경국립대학교
172,0000247,한국공학대학교
173,0000374,한국과학기술원
174,0000031,한국교원대학교
175,0000189,한국기술교육대학교
176,0000191,한국성서대학교
177,0003139,한국에너지공과대학교
178,0000192,한국외국어대학교
179,0003022,한국전통문화대학교
180,0000032,한국체육대학교
181,0000182,한국침례신학대학교
182,0000194,한국항공대학교
183,0000195,한남대학교
184,0000196,한동대학교
185,0000197,한라대학교
186,0000198,한림대학교
187,0000199,한서대학교
188,0000200,한성대학교
189,0000201,한세대학교
190,0000202,한신대학교
191,0000203,한양대학교
192,0000204,한양대학교(ERICA)
193,0000206,한일장신대학교
194,0000207,협성대학교
195,0000208,호남대학교
196,0000209,호남신학대학교
197,0000211,호서대학교
199,0000212,홍익대학교
200,0002949,홍익대학교
201,0000233,화성의과학대학교
