대학ID,학년도,모집단위,전형명,전형유형,모집인원,지원자수
1,2024,경영학부,학생부교과(학생부우수자),학생부교과,9,185
1,2024,경영학부,학생부교과(지역균형),학생부교과,12,128
1,2024,경영학부,학생부종합(가천바람개비),학생부종합,22,500
1,2024,경영학부,학생부종합(기회균형),학생부종합,1,8
1,2024,미디어커뮤니케이션학과,학생부교과(학생부우수자),학생부교과,5,56
1,2024,미디어커뮤니케이션학과,학생부교과(지역균형),학생부교과,9,110
1,2024,미디어커뮤니케이션학과,학생부종합(가천바람개비),학생부종합,21,412
1,2024,미디어커뮤니케이션학과,논술(논술전형),논술,13,1061
1,2024,미디어커뮤니케이션학과,학생부종합(기회균형),학생부종합,4,52
1,2024,관광경영학과,학생부교과(학생부우수자),학생부교과,5,77
1,2024,관광경영학과,학생부종합(가천바람개비),학생부종합,20,330
1,2024,관광경영학과,논술(논술전형),논술,12,462
1,2024,관광경영학과,학생부종합(기회균형),학생부종합,4,37
1,2024,경제학과,학생부교과(학생부우수자),학생부교과,17,356
1,2024,경제학과,학생부교과(지역균형),학생부교과,10,132
1,2024,경제학과,학생부종합(가천바람개비),학생부종합,19,252
1,2024,경제학과,학생부종합(기회균형),학생부종합,1,9
1,2024,의료산업경영학과,학생부교과(학생부우수자),학생부교과,7,131
1,2024,의료산업경영학과,학생부종합(가천바람개비),학생부종합,17,427
1,2024,의료산업경영학과,논술(논술전형),논술,14,458
1,2024,의료산업경영학과,학생부종합(기회균형),학생부종합,2,20
1,2024,응용통계학과,학생부교과(학생부우수자),학생부교과,7,52
1,2024,응용통계학과,학생부교과(지역균형),학생부교과,11,81
1,2024,응용통계학과,학생부종합(가천바람개비),학생부종합,8,128
1,2024,응용통계학과,논술(논술전형),논술,13,1028
1,2024,사회복지학과,학생부교과(학생부우수자),학생부교과,10,99
1,2024,사회복지학과,학생부종합(가천바람개비),학생부종합,11,166
1,2024,사회복지학과,논술(논술전형),논술,12,726
1,2024,사회복지학과,학생부종합(기회균형),학생부종합,4,30
1,2024,유아교육학과,학생부교과(학생부우수자),학생부교과,19,257
1,2024,유아교육학과,학생부교과(지역균형),학생부교과,7,90
1,2024,유아교육학과,학생부종합(가천바람개비),학생부종합,18,426
1,2024,행정학과,학생부교과(학생부우수자),학생부교과,5,99
1,2024,행정학과,학생부종합(가천바람개비),학생부종합,15,326
1,2024,행정학과,논술(논술전형),논술,14,976
1,2024,행정학과,학생부종합(기회균형),학생부종합,1,6
1,2024,법학과,학생부교과(학생부우수자),학생부교과,7,88
1,2024,법학과,학생부종합(가천바람개비),학생부종합,16,286
1,2024,법학과,학생부종합(기회균형),학생부종합,2,9
1,2024,경찰행정학과,학생부교과(학생부우수자),학생부교과,9,157
1,2024,경찰행정학과,학생부교과(지역균형),학생부교과,9,203
1,2024,경찰행정학과,학생부종합(가천바람개비),학생부종합,14,395
1,2024,경찰행정학과,학생부종합(기회균형),학생부종합,4,43
1,2024,한국어문학과,학생부교과(학생부우수자),학생부교과,11,92
1,2024,한국어문학과,학생부종합(가천바람개비),학생부종합,9,104
1,2024,한국어문학과,논술(논술전형),논술,5,237
1,2024,한국어문학과,학생부종합(기회균형),학생부종합,4,31
1,2024,영미어문학과,학생부종합(가천바람개비),학생부종합,5,41
1,2024,영미어문학과,논술(논술전형),논술,10,353
1,2024,동양어문학과,학생부교과(학생부우수자),학생부교과,7,71
1,2024,동양어문학과,학생부종합(가천바람개비),학생부종합,5,52
1,2024,동양어문학과,논술(논술전형),논술,5,302
1,2024,동양어문학과,학생부종합(기회균형),학생부종합,2,15
1,2024,컴퓨터공학부,학생부교과(학생부우수자),학생부교과,13,214
1,2024,컴퓨터공학부,학생부교과(지역균형),학생부교과,15,298
1,2024,컴퓨터공학부,학생부종합(가천바람개비),학생부종합,11,160
1,2024,컴퓨터공학부,논술(논술전형),논술,9,437
1,2024,컴퓨터공학부,학생부종합(기회균형),학생부종합,3,29
1,2024,인공지능학과,학생부교과(학생부우수자),학생부교과,12,169
1,2024,인공지능학과,학생부교과(지역균형),학생부교과,13,309
1,2024,인공지능학과,학생부종합(가천바람개비),학생부종합,22,255
1,2024,인공지능학과,논술(논술전형),논술,9,437
1,2024,인공지능학과,학생부종합(기회균형),학생부종합,4,42
1,2024,소프트웨어학과,학생부교과(학생부우수자),학생부교과,9,191
1,2024,소프트웨어학과,학생부교과(지역균형),학생부교과,11,188
1,2024,소프트웨어학과,학생부종합(가천바람개비),학생부종합,12,317
1,2024,전자공학부,학생부교과(지역균형),학생부교과,13,109
1,2024,전자공학부,학생부종합(가천바람개비),학생부종합,9,137
1,2024,전기공학과,학생부교과(학생부우수자),학생부교과,10,87
1,2024,전기공학과,학생부교과(지역균형),학생부교과,6,103
1,2024,전기공학과,학생부종합(가천바람개비),학생부종합,9,157
1,2024,전기공학과,학생부종합(기회균형),학생부종합,2,17
1,2024,기계공학과,학생부교과(학생부우수자),학생부교과,11,154
1,2024,기계공학과,학생부교과(지역균형),학생부교과,10,72
1,2024,기계공학과,학생부종합(가천바람개비),학생부종합,22,417
1,2024,기계공학과,논술(논술전형),논술,9,443
1,2024,기계공학과,학생부종합(기회균형),학생부종합,3,31
1,2024,화공생명공학과,학생부교과(학생부우수자),학생부교과,10,145
1,2024,화공생명공학과,학생부종합(가천바람개비),학생부종합,15,222
1,2024,화공생명공학과,논술(논술전형),논술,6,277
1,2024,화공생명공학과,학생부종합(기회균형),학생부종합,1,7
1,2024,건축학부,학생부교과(학생부우수자),학생부교과,17,257
1,2024,건축학부,학생부종합(가천바람개비),학생부종합,8,86
1,2024,건축학부,논술(논술전형),논술,3,166
1,2024,건축학부,학생부종합(기회균형),학생부종합,3,25
1,2024,도시계획·조경학부,학생부교과(학생부우수자),학생부교과,19,255
1,2024,도시계획·조경학부,학생부종합(가천바람개비),학생부종합,14,316
1,2024,도시계획·조경학부,논술(논술전형),논술,3,220
1,2024,도시계획·조경학부,학생부종합(기회균형),학생부종합,3,32
1,2024,바이오나노학과,학생부교과(학생부우수자),학생부교과,16,332
1,2024,바이오나노학과,학생부교과(지역균형),학생부교과,12,209
1,2024,바이오나노학과,학생부종합(가천바람개비),학생부종합,21,483
1,2024,식품생명공학과,학생부종합(가천바람개비),학생부종합,12,239
1,2024,식품생명공학과,논술(논술전형),논술,7,277
1,2024,간호학과,학생부교과(학생부우수자),학생부교과,8,128
1,2024,간호학과,학생부교과(지역균형),학생부교과,6,92
1,2024,간호학과,학생부종합(가천바람개비),학생부종합,8,278
1,2024,간호학과,논술(논술전형),논술,3,152
1,2024,약학과,학생부교과(학생부우수자),학생부교과,5,135
1,2024,약학과,학생부교과(지역균형),학생부교과,5,79
1,2024,약학과,학생부종합(가천바람개비),학생부종합,12,288
1,2024,약학과,논술(논술전형),논술,9,869
1,2024,약학과,학생부종합(기회균형),학생부종합,2,33
1,2024,의예과,학생부교과(학생부우수자),학생부교과,13,495
1,2024,의예과,학생부교과(지역균형),학생부교과,13,448
1,2024,의예과,학생부종합(가천바람개비),학생부종합,8,461
1,2024,의예과,논술(논술전형),논술,10,1054
1,2024,한의예과,학생부교과(학생부우수자),학생부교과,10,207
1,2024,한의예과,학생부종합(가천바람개비),학생부종합,6,248
1,2024,한의예과,논술(논술전형),논술,6,507
1,2024,한의예과,학생부종합(기회균형),학생부종합,2,20
1,2024,시각디자인학과,실기/실적(실기우수자),실기/실적,27,299
1,2024,체육학부,실기/실적(실기우수자),실기/실적,25,435
1,2024,음악학부,실기/실적(실기우수자),실기/실적,11,133
1,2025,경영학부,학생부교과(학생부우수자),학생부교과,9,146
1,2025,경영학부,학생부교과(지역균형),학생부교과,12,160
1,2025,경영학부,학생부종합(가천바람개비),학생부종합,18,345
1,2025,경영학부,학생부종합(기회균형),학생부종합,1,10
