대학ID,학년도,학과명,계열,모집인원,지원자,입학자
1,2024,간호학과,의약계열,290,6159,290
1,2024,건축학부,공학계열,136,2635,136
1,2024,게임?영상학과,공학계열,60,603,39
1,2024,경영학부,사회계열,455,6586,446
1,2024,경제학과,사회계열,61,1203,61
1,2024,경찰행정학과,사회계열,58,969,58
1,2024,관광경영학과,사회계열,90,1265,89
1,2024,국제학부,사회계열,172,220,172
1,2024,금융?빅데이터학부,자연계열,105,1500,105
1,2024,기계?스마트?산업공학부(기계공학전공),공학계열,112,2288,112
1,2024,기계?스마트?산업공학부(산업공학전공),공학계열,54,914,54
1,2024,기계?스마트?산업공학부(스마트팩토리전공),공학계열,50,777,50
1,2024,도시계획?조경학부,사회계열,83,1287,83
1,2024,물리치료학과,의약계열,56,1412,56
1,2024,물리학과,자연계열,52,862,52
1,2024,미디어커뮤니케이션학과,사회계열,99,2087,99
1,2024,미래자동차학과,공학계열,40,235,38
1,2024,미술·디자인학부(디자인),예체능계열,65,1630,65
1,2024,미술·디자인학부(회화·조소),예체능계열,56,630,56
1,2024,바이오나노학과,자연계열,52,871,52
1,2024,바이오로직스학과,자연계열,103,1527,103
1,2024,바이오의료기기학과,의약계열,40,244,38
1,2024,반도체?디스플레이학과,공학계열,50,275,49
1,2024,반도체?전자공학부,공학계열,242,3945,242
1,2024,반도체설계학과,공학계열,50,268,50
1,2024,방사선학과,의약계열,49,1039,49
1,2024,법학과,사회계열,106,1738,106
1,2024,사회복지학과,사회계열,57,1199,57
1,2024,생명과학과,자연계열,53,1238,53
1,2024,설비·소방공학과,공학계열,55,980,55
1,2024,스마트시티학과,공학계열,52,893,52
1,2024,식품생명공학과,자연계열,55,1052,55
1,2024,식품영양학과,자연계열,58,969,58
1,2024,신소재공학과,공학계열,58,961,58
1,2024,심리학과,인문계열,71,1386,71
1,2024,약학과,의약계열,40,1179,40
1,2024,연기예술학과,예체능계열,32,1765,32
1,2024,외국어계열,인문계열,225,4050,225
1,2024,운동재활학과,의약계열,42,1369,42
1,2024,유아교육학과,교육계열,60,1152,60
1,2024,음악학부(기악),예체능계열,31,454,31
1,2024,음악학부(성악),예체능계열,12,136,12
1,2024,음악학부(작곡),예체능계열,7,53,7
1,2024,응급구조학과,의약계열,24,506,24
1,2024,응용통계학과,자연계열,53,790,53
1,2024,의공학과,의약계열,53,892,53
1,2024,의료산업경영학과,사회계열,57,907,57
1,2024,의예과,의약계열,46,1319,46
1,2024,자유전공학부,인문계열,51,1273,51
1,2024,전기공학과,공학계열,89,1457,89
1,2024,체육학부(체육),예체능계열,41,2192,41
1,2024,체육학부(태권도),예체능계열,33,470,33
1,2024,치위생학과,의약계열,46,618,46
1,2024,컴퓨터공학부(스마트보안전공),공학계열,53,988,53
1,2024,컴퓨터공학부(컴퓨터공학전공),공학계열,263,3556,256
1,2024,클라우드공학과,공학계열,30,1393,28
1,2024,토목환경공학과,공학계열,52,907,52
1,2024,패션산업학과,자연계열,54,1120,54
1,2024,한국어문학과,인문계열,64,1010,64
1,2024,한의예과,의약계열,31,693,31
1,2024,행정학과,사회계열,55,892,55
1,2024,화공생명배터리공학부,공학계열,211,3194,211
1,2024,화학과,자연계열,54,904,54
1,2024,AI?소프트웨어학부(소프트웨어전공),공학계열,103,1689,103
1,2024,AI?소프트웨어학부(인공지능전공),공학계열,156,2757,156
1,2025,간호학과,의약계열,295,6184,295
1,2025,건축학부,공학계열,116,2308,116
1,2025,게임?영상학과,공학계열,30,594,27
1,2025,경영학과,사회계열,423,4861,414
1,2025,경제학과,사회계열,67,1155,67
1,2025,관광경영학과,사회계열,131,1228,131
1,2025,국제학부(국제자유전공),인문계열,178,213,178
1,2025,국제학부(한국학전공),인문계열,18,21,18
1,2025,금융?빅데이터학부,자연계열,109,1429,109
1,2025,기계공학부,공학계열,197,3786,197
1,2025,기계공학부(스마트팩토리전공),공학계열,50,897,50
1,2025,도시계획?조경학부,사회계열,71,1216,71
1,2025,물리치료학과,의약계열,58,1507,58
1,2025,미디어커뮤니케이션학과,사회계열,129,1946,129
1,2025,미래자동차학과,공학계열,40,211,32
1,2025,미술?디자인학부(산업디자인전공),예체능계열,32,576,32
1,2025,미술?디자인학부(시각디자인전공),예체능계열,31,954,31
1,2025,미술?디자인학부(조소전공),예체능계열,25,174,25
1,2025,미술?디자인학부(회화전공),예체능계열,30,288,30
1,2025,바이오나노학과,자연계열,48,768,48
1,2025,바이오로직스학과,자연계열,107,1423,107
1,2025,바이오의료기기학과,의약계열,40,217,35
1,2025,반도체?디스플레이학과,공학계열,100,458,97
1,2025,반도체대학,공학계열,219,3317,219
1,2025,반도체물리학과,자연계열,47,685,47
1,2025,반도체설계학과,공학계열,50,236,40
1,2025,방사선학과,의약계열,47,1063,47
1,2025,법과대학,사회계열,164,3275,164
1,2025,사회복지학과,사회계열,46,1250,46
1,2025,생명과학과,자연계열,48,1135,48
1,2025,스마트보안학과,공학계열,52,871,52
1,2025,스마트시티학과,공학계열,52,897,52
1,2025,시스템반도체학과,공학계열,52,753,52
1,2025,식품생명공학과,자연계열,50,943,50
1,2025,식품영양학과,자연계열,47,944,47
1,2025,신소재공학과,공학계열,51,863,51
1,2025,심리학과,인문계열,54,1185,54
1,2025,약학과,의약계열,40,1471,40
1,2025,연기예술학과,예체능계열,30,1802,30
1,2025,운동재활학과,의약계열,44,1171,44
1,2025,유아교육학과,교육계열,50,1130,50
1,2025,음악학부(기악),예체능계열,31,410,31
1,2025,음악학부(성악),예체능계열,12,118,12
1,2025,음악학부(작곡),예체능계열,7,53,7
1,2025,응급구조학과,의약계열,22,820,22
1,2025,응용통계학과,자연계열,48,803,48
1,2025,의공학과,의약계열,48,725,48
1,2025,의료산업경영학과,사회계열,50,891,50
1,2025,의예과,의약계열,142,9814,142
1,2025,인공지능학과,공학계열,159,2642,159
1,2025,자유전공학부,무전공,321,7656,321
1,2025,전기공학과,공학계열,69,1176,69
1,2025,체육학부(체육),예체능계열,41,1968,41
1,2025,체육학부(태권도),예체능계열,30,623,30
1,2025,치위생학과,의약계열,47,677,47
1,2025,컴퓨터공학과,공학계열,318,3680,313
1,2025,클라우드공학과,공학계열,30,787,30
1,2025,토목환경공학과,공학계열,48,830,48
1,2025,패션산업학과,자연계열,55,1175,55
1,2025,한국어교육학과,교육계열,17,22,17
1,2025,한의예과,의약계열,31,592,31
1,2025,화공생명배터리공학부,공학계열,213,2958,213
1,2025,화학과,자연계열,49,907,49
1,2025,회계세무학과,사회계열,52,978,52
1,2025,AI인문대학,인문계열,233,4576,233
1,2026,간호학과,의약계열,307,6397,296
1,2026,건설환경공학과,공학계열,56,1011,50
1,2026,건축공학과,공학계열,47,945,47
1,2026,건축학부,공학계열,69,1978,69
1,2026,게임·영상학과(4년제),공학계열,24,631,24
1,2026,경영학과,사회계열,476,7351,397
