대학ID,학년도,제목,파일
1,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242952&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000063&searchSyr=2027
2,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243390&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000003&searchSyr=2027
3,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243061&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000052&searchSyr=2027
4,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243005&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000040&searchSyr=2027
5,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257099&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000014&searchSyr=2027
6,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255224&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0002748&searchSyr=2027
7,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000245719&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000072&searchSyr=2027
8,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257911&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000215&searchSyr=2027
9,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000245155&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000046&searchSyr=2027
10,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256496&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000050&searchSyr=2027
11,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242900&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000051&searchSyr=2027
12,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255087&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000079&searchSyr=2027
13,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000247758&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000053&searchSyr=2027
14,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257542&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000054&searchSyr=2027
15,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255005&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000056&searchSyr=2027
16,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257833&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000059&searchSyr=2027
17,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000244951&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000060&searchSyr=2027
18,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242989&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000005&searchSyr=2027
19,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243097&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000007&searchSyr=2027
20,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257303&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000062&searchSyr=2027
21,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000245581&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000244&searchSyr=2027
22,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257264&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000256&searchSyr=2027
23,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255226&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000064&searchSyr=2027
24,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000245976&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000066&searchSyr=2027
25,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243040&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000068&searchSyr=2027
26,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256509&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000069&searchSyr=2027
27,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257700&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000070&searchSyr=2027
28,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243095&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000071&searchSyr=2027
29,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256830&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000251&searchSyr=2027
30,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000237435&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000073&searchSyr=2027
31,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000246873&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000074&searchSyr=2027
32,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256258&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000075&searchSyr=2027
34,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257182&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000252&searchSyr=2027
35,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000247025&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000231&searchSyr=2027
36,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000247286&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000076&searchSyr=2027
37,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257807&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000021&searchSyr=2027
