대학ID,공시연도,지표,값,단위,출처
13,2025,정원내 신입생 경쟁률,10.8,:1,대학알리미(공공데이터포털)
13,2025,신입생 충원율,1635,%,대학알리미(공공데이터포털)
13,2025,재학생 충원율,113.5,%,대학알리미(공공데이터포털)
27,2025,정원내 신입생 경쟁률,8.6,:1,대학알리미(공공데이터포털)
27,2025,신입생 충원율,1626,%,대학알리미(공공데이터포털)
27,2025,재학생 충원율,113.7,%,대학알리미(공공데이터포털)
70,2025,정원내 신입생 경쟁률,6.3,:1,대학알리미(공공데이터포털)
70,2025,신입생 충원율,1816,%,대학알리미(공공데이터포털)
70,2025,재학생 충원율,94.5,%,대학알리미(공공데이터포털)
123,2025,정원내 신입생 경쟁률,9.1,:1,대학알리미(공공데이터포털)
123,2025,신입생 충원율,1416,%,대학알리미(공공데이터포털)
123,2025,재학생 충원율,122.7,%,대학알리미(공공데이터포털)
192,2025,정원내 신입생 경쟁률,14.9,:1,대학알리미(공공데이터포털)
192,2025,신입생 충원율,2022,%,대학알리미(공공데이터포털)
192,2025,재학생 충원율,139.3,%,대학알리미(공공데이터포털)
