조회연도,대학명,대학코드,문서종류,다운로드링크
2027,"가야대학교[본교]","0002748","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255224&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0002748&searchSyr=2027"
2027,"가천대학교[본교]","0000063","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242952&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000063&searchSyr=2027"
2027,"가톨릭관동대학교[본교]","0000072","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000245719&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000072&searchSyr=2027"
2027,"가톨릭꽃동네대학교[본교]","0000215","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257911&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000215&searchSyr=2027"
2027,"가톨릭대학교[본교]","0000046","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000245155&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000046&searchSyr=2027"
2027,"가톨릭대학교[제2캠퍼스]","0000048","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257284&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000048&searchSyr=2027"
2027,"가톨릭대학교[제3캠퍼스]","0000049","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257174&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000049&searchSyr=2027"
2027,"감리교신학대학교[본교]","0000050","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256496&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000050&searchSyr=2027"
2027,"강남대학교[본교]","0000051","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242900&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000051&searchSyr=2027"
2027,"강서대학교[본교]","0000079","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255087&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000079&searchSyr=2027"
2027,"강원대학교[본교]","0000003","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243390&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000003&searchSyr=2027"
