대학ID,대학명,지역,설립구분,캠퍼스,홈페이지
1,가천대학교,경기,사립,,https://www.gachon.ac.kr
2,강원대학교,강원,국립,,https://www.kangwon.ac.kr
3,건국대학교,서울,사립,서울캠퍼스,https://www.konkuk.ac.kr
4,서울시립대학교,서울,공립,,https://www.uos.ac.kr
5,부산대학교,부산,국립,,https://www.pusan.ac.kr
6,가야대학교,경남,사립,,https://www.kaya.ac.kr
7,가톨릭관동대학교,강원,사립,,https://www.cku.ac.kr
8,가톨릭꽃동네대학교,충북,사립,,https://www.kkot.ac.kr
9,가톨릭대학교,경기,사립,,https://www.catholic.ac.kr
10,감리교신학대학교,서울,사립,,https://www.mtu.ac.kr
11,강남대학교,경기,사립,,https://www.kangnam.ac.kr
12,강서대학교,서울,사립,,https://gangseo.ac.kr
13,건국대학교,충북,사립,GLOCAL캠퍼스,https://www.kku.ac.kr
14,건양대학교,충남,사립,,https://www.konyang.ac.kr
15,경기대학교,경기,사립,,https://www.kyonggi.ac.kr
16,경남대학교,경남,사립,,https://www.kyungnam.ac.kr
17,경동대학교,강원,사립,,https://www.kduniv.ac.kr
18,경북대학교,대구,국립,,https://www.knu.ac.kr
19,경상국립대학교,경남,국립,,https://www.gnu.ac.kr
20,경성대학교,부산,사립,,https://ks.ac.kr
21,경운대학교,경북,사립,,https://www.ikw.ac.kr
22,경인교육대학교,인천,국립,,https://www.ginue.ac.kr
23,경일대학교,경북,사립,,https://www.kiu.ac.kr
24,경희대학교,서울,사립,,https://www.khu.ac.kr
25,계명대학교,대구,사립,,https://www.kmu.ac.kr
26,고려대학교,서울,사립,서울캠퍼스,https://www.korea.ac.kr
27,고려대학교,세종,사립,세종캠퍼스,https://sejong.korea.ac.kr
28,고신대학교,부산,사립,,https://www.kosin.ac.kr
29,공주교육대학교,충남,국립,,https://www.gjue.ac.kr
30,광신대학교,광주,사립,,https://www.kwangshin.ac.kr
31,광운대학교,서울,사립,,https://www.kw.ac.kr
32,광주가톨릭대학교,전남,사립,,https://www.gjcatholic.ac.kr
33,광주과학기술원,광주,국립,,https://www.gist.ac.kr
34,광주교육대학교,광주,국립,,https://www.gnue.ac.kr
35,광주대학교,광주,사립,,https://www.gwangju.ac.kr
36,광주여자대학교,광주,사립,,https://www.kwu.ac.kr
37,국립경국대학교,경북,국립,,https://www.gknu.ac.kr
38,국립공주대학교,충남,국립,,https://www.kongju.ac.kr
39,국립군산대학교,전북,국립,,https://www.kunsan.ac.kr
40,국립금오공과대학교,경북,국립,,https://www.kumoh.ac.kr
41,국립목포대학교,전남,국립,,https://www.mokpo.ac.kr
42,국립목포해양대학교,전남,국립,,https://www.mmu.ac.kr
43,국립부경대학교,부산,국립,,https://www.pknu.ac.kr
44,국립순천대학교,전남,국립,,https://www.scnu.ac.kr
45,국립창원대학교,경남,국립,,https://www.changwon.ac.kr
46,국립한국교통대학교,충북,국립,,https://www.ut.ac.kr
47,국립한국해양대학교,부산,국립,,https://www.kmou.ac.kr
48,국립한밭대학교,대전,국립,,https://www.hanbat.ac.kr
49,국민대학교,서울,사립,,https://www.kookmin.ac.kr
50,극동대학교,충북,사립,,https://www.kdu.ac.kr
51,금강대학교,충남,사립,,https://www.ggu.ac.kr
52,김천대학교,경북,사립,,https://www.gimcheon.ac.kr
53,나사렛대학교,충남,사립,,https://www.kornu.ac.kr
54,남부대학교,광주,사립,,https://www.nambu.ac.kr
55,남서울대학교,충남,사립,,https://www.nsu.ac.kr
56,단국대학교,경기,사립,,https://www.dankook.ac.kr
57,대구가톨릭대학교,경북,사립,,https://www.cu.ac.kr
58,대구경북과학기술원,대구,국립,,https://www.dgist.ac.kr
59,대구교육대학교,대구,국립,,https://www.dnue.ac.kr
60,대구대학교,경북,사립,,https://www.daegu.ac.kr
61,대구예술대학교,경북,사립,,https://www.dgau.ac.kr
62,대구한의대학교,경북,사립,,https://www.dhu.ac.kr
63,대신대학교,경북,사립,,https://www.daeshin.ac.kr
64,대전가톨릭대학교,세종,사립,,https://www.dcatholic.ac.kr
65,대전대학교,대전,사립,,https://www.dju.ac.kr
66,대전신학대학교,대전,사립,,https://www.daejeon.ac.kr
67,대진대학교,경기,사립,,https://www.daejin.ac.kr
68,덕성여자대학교,서울,사립,,https://www.duksung.ac.kr
69,동국대학교,서울,사립,서울캠퍼스,https://www.dongguk.edu
70,동국대학교,경북,사립,WISE캠퍼스,https://wise.dongguk.ac.kr
71,동덕여자대학교,서울,사립,,https://www.dongduk.ac.kr
72,동명대학교,부산,사립,,https://www.tu.ac.kr
73,동서대학교,부산,사립,,https://www.dongseo.ac.kr
74,동신대학교,전남,사립,,https://www.dsu.ac.kr
75,동아대학교,부산,사립,,https://www.donga.ac.kr
76,동양대학교,경북,사립,,https://www.dyu.ac.kr
77,동의대학교,부산,사립,,https://www.deu.ac.kr
78,루터대학교,경기,사립,,https://www.ltu.ac.kr
79,명지대학교,경기,사립,,https://www.mju.ac.kr
80,목원대학교,대전,사립,,https://www.mokwon.ac.kr
81,목포가톨릭대학교,전남,사립,,https://www.mcu.ac.kr
82,배재대학교,대전,사립,,https://www.pcu.ac.kr
83,백석대학교,충남,사립,,https://www.bu.ac.kr
